Player,Team,total_distance,HIR_total_distance,HA_actions,HD_actions,VHA_actions,VHD_actions
10188,1.7931044233238688e+19,12133.601794336075,1647.3134573755647,289.0,358.0,45.0,100.0
10342,1.7931044233238688e+19,5857.058540808935,1545.853448300998,314.0,276.0,63.0,112.0
10447,6.087415473386579e+18,5422.280706285106,0.0,182.0,119.0,12.0,53.0
10597,1.7931044233238688e+19,10124.78364089166,1322.2273090856543,305.0,265.0,74.0,99.0
11767,6.087415473386579e+18,11911.175027512687,2115.140655402198,358.0,352.0,80.0,109.0
12717,1.7931044233238688e+19,11439.380608158244,2865.484494052609,520.0,511.0,116.0,239.0
13390,1.7931044233238688e+19,10906.822425972006,2267.1044865555054,417.0,517.0,125.0,188.0
14232,6.087415473386579e+18,7486.7983016201515,1683.7258323326457,267.0,284.0,101.0,103.0
14324,6.087415473386579e+18,11240.427579992662,1776.5612337139212,405.0,506.0,116.0,149.0
15422,1.7931044233238688e+19,10644.656120880958,1658.4518808924968,376.0,382.0,79.0,104.0
16029,6.087415473386579e+18,10979.417957033933,1947.946310495954,416.0,537.0,78.0,172.0
16161,6.087415473386579e+18,1110.428641064074,293.6128915018427,53.0,38.0,24.0,15.0
16336,1.7931044233238688e+19,9910.421285614704,1801.655440071694,379.0,438.0,98.0,139.0
16682,6.087415473386579e+18,4190.626095679135,461.011422038755,113.0,133.0,21.0,41.0
17094,1.7931044233238688e+19,752.9661327433083,6.720845922017259,39.0,41.0,9.0,13.0
22934,1.7931044233238688e+19,11923.371325645314,1825.1094278799128,307.0,412.0,42.0,93.0
32454,6.087415473386579e+18,11837.321281571096,2121.8318967514633,568.0,497.0,97.0,186.0
35507,1.7931044233238688e+19,4760.746915814191,189.6054302157345,114.0,80.0,33.0,15.0
36052,6.087415473386579e+18,4356.807677312245,1256.422029006262,136.0,208.0,41.0,96.0
41245,6.087415473386579e+18,7709.303784409614,1636.1742656501158,238.0,345.0,40.0,93.0
51687,1.8446744073709552e+19,38657.222221153184,0.0,0.0,0.0,0.0,0.0
56279,1.7931044233238688e+19,10851.388981575294,2792.6621153070687,444.0,486.0,118.0,219.0
57599,6.087415473386579e+18,10537.138471181399,1410.067888609633,314.0,414.0,32.0,141.0
63306,1.7931044233238688e+19,5679.014947165715,964.6767210937119,180.0,172.0,31.0,51.0
64901,1.7931044233238688e+19,10245.14829835501,2432.0511966524627,487.0,585.0,166.0,166.0
74401,6.087415473386579e+18,10658.978803818802,1745.1659133903681,392.0,417.0,95.0,156.0
98486,6.087415473386579e+18,12128.495113938063,2700.196257163291,515.0,456.0,106.0,143.0
99063,6.087415473386579e+18,7110.250893242197,1388.2008997567323,180.0,200.0,33.0,90.0
