Player,Time,Half-time,total_distance,HIR_total_distance,HA_actions,HD_actions,VHA_actions,VHD_actions,Expected_goal
12458,"[10.0,15.0]",First-half,577.5420852460777,1.1627756665798645,4.0,5.0,0.0,11.0,14.99
12458,"[15.0,20.0]",First-half,523.9889926766597,47.25924321239548,12.0,23.0,10.0,18.0,13.899999999999999
12458,"[20.0,25.0]",First-half,549.6844690215123,59.53765747008993,28.0,15.0,4.0,11.0,4.41
12458,"[25.0,30.0]",First-half,645.2536220146808,77.59678288614234,13.0,10.0,0.0,5.0,5.59
12458,"[30.0,35.0]",First-half,596.9428009913463,21.320653536255552,13.0,21.0,0.0,5.0,15.820000000000004
12458,"[35.0,40.0]",First-half,621.432234525568,92.77266595144836,34.0,25.0,13.0,7.0,10.0
12458,"[40.0,45.0]",First-half,557.8729867145985,128.99950034561127,26.0,21.0,10.0,16.0,18.900000000000002
12458,"[45.0,50.0]",First-half,57.30325213940737,0.0,0.0,0.0,0.0,0.0,0.0
12458,"[60.0,65.0]",Second-half,422.57194787128503,41.91844964453902,28.0,22.0,15.0,19.0,3.7299999999999995
12458,"[65.0,70.0]",Second-half,527.7721366610454,60.27865706267742,30.0,36.0,11.0,15.0,23.9
12458,"[70.0,75.0]",Second-half,495.6871876302889,55.031441588285944,7.0,18.0,0.0,9.0,0.30000000000000004
12458,"[75.0,80.0]",Second-half,539.1814038327135,79.97919895416987,23.0,30.0,2.0,3.0,31.43
12458,"[80.0,85.0]",Second-half,487.0785334845526,0.0,18.0,27.0,15.0,3.0,19.720000000000006
12458,"[85.0,90.0]",Second-half,396.5190094071992,5.442594347806638,6.0,6.0,0.0,6.0,9.3
12458,"[90.0,95.0]",Second-half,517.1312743514361,22.342548406736896,26.0,18.0,14.0,11.0,15.24
12458,"[95.0,100.0]",Second-half,567.8605160291617,15.580881085885718,2.0,21.0,0.0,3.0,20.18
12458,"[100.0,105.0]",Second-half,536.9556343963011,51.54412262232069,30.0,22.0,7.0,10.0,40.07
12458,"[105.0,110.0]",Second-half,603.5591436773575,47.46581095567586,13.0,14.0,7.0,2.0,31.79
12458,"[110.0,112.11]",Second-half,223.67076984574362,9.74673974992776,12.0,7.0,5.0,0.0,7.41
12588,"[0.0,5.0]",First-half,753.9385492120664,97.62757140817484,16.0,33.0,2.0,4.0,9.23
12588,"[5.0,10.0]",First-half,736.6526904935495,87.53461754393541,15.0,12.0,0.0,3.0,9.71
12588,"[10.0,15.0]",First-half,694.3157443004725,187.3735652971685,12.0,27.0,2.0,4.0,6.3999999999999995
12588,"[15.0,20.0]",First-half,601.1702690799087,57.37183577302055,10.0,11.0,0.0,0.0,63.09000000000001
12588,"[20.0,25.0]",First-half,651.7820622867717,129.9441927468258,22.0,39.0,2.0,11.0,54.50000000000001
12588,"[25.0,30.0]",First-half,784.7493054482827,232.7531508461267,33.0,49.0,17.0,14.0,39.7
12588,"[30.0,35.0]",First-half,629.3552893635858,36.039283563696976,15.0,31.0,0.0,6.0,45.260000000000005
12588,"[35.0,40.0]",First-half,682.3230204341794,82.82382790621936,22.0,27.0,0.0,12.0,49.010000000000005
12588,"[40.0,45.0]",First-half,607.5865465892193,104.63894297365565,17.0,26.0,0.0,8.0,51.760000000000005
12588,"[45.0,50.0]",First-half,65.5253675968344,0.0,0.0,0.0,0.0,0.0,55.60000000000001
12588,"[60.0,65.0]",Second-half,434.56570927476673,29.456026491146673,13.0,31.0,5.0,0.0,5.58
12588,"[65.0,70.0]",Second-half,700.1257773728255,40.87201444824191,11.0,28.0,4.0,4.0,15.480000000000002
12588,"[70.0,75.0]",Second-half,686.7880868586847,74.03530736113844,22.0,50.0,7.0,12.0,30.009999999999998
12588,"[75.0,80.0]",Second-half,656.763950961252,64.56173092926015,36.0,9.0,4.0,4.0,93.12000000000002
12588,"[80.0,85.0]",Second-half,603.0993469979294,42.76939566363272,9.0,8.0,0.0,9.0,86.97
12588,"[85.0,90.0]",Second-half,480.9127156996686,52.679019638105046,20.0,26.0,7.0,13.0,16.370000000000005
12588,"[90.0,95.0]",Second-half,662.2234945413802,198.9287415038291,23.0,29.0,0.0,8.0,43.300000000000004
12588,"[95.0,100.0]",Second-half,702.4778796081769,234.16488483809286,23.0,20.0,0.0,8.0,12.750000000000005
12588,"[100.0,105.0]",Second-half,565.5838086964516,48.1442931759707,6.0,20.0,6.0,9.0,38.300000000000004
12588,"[105.0,110.0]",Second-half,720.6188631435467,241.49921968393363,15.0,4.0,0.0,4.0,78.62
12588,"[110.0,112.11]",Second-half,289.8752092383885,52.801674089864726,18.0,4.0,3.0,7.0,62.92
