Player,Time,Half-time,total_distance,HIR_total_distance,HA_actions,HD_actions,VHA_actions,VHD_actions,Expected_goal
10188,"[0.0,5.0]",First-half,793.1068383298194,82.53725193356198,40.0,46.0,3.0,19.0,0.29000000000000004
10188,"[5.0,10.0]",First-half,743.541780600656,50.504265413325825,16.0,15.0,3.0,13.0,4.87
10188,"[10.0,15.0]",First-half,697.0163639462658,57.540171115242245,23.0,26.0,3.0,5.0,3.9300000000000006
10188,"[15.0,20.0]",First-half,672.8446513748163,196.60180722325177,19.0,22.0,0.0,3.0,20.44
10188,"[20.0,25.0]",First-half,516.8456997560577,6.075543142052375,10.0,9.0,0.0,1.0,0.0
10188,"[25.0,30.0]",First-half,644.0501261370682,1.15485362422594,8.0,4.0,0.0,0.0,2.6899999999999995
10188,"[30.0,35.0]",First-half,568.2370915017214,7.6560341788974196,3.0,19.0,2.0,7.0,135.97
10188,"[35.0,40.0]",First-half,698.1895378141962,257.67361918417447,28.0,27.0,5.0,17.0,28.840000000000003
10188,"[40.0,45.0]",First-half,554.6880585392821,59.436135529065524,15.0,7.0,0.0,0.0,37.48
10188,"[45.0,50.0]",First-half,168.6861723218947,0.0,0.0,0.0,0.0,0.0,0.0
10188,"[60.0,65.0]",Second-half,474.56858665070456,9.427198993740449,19.0,5.0,1.0,3.0,13.320000000000004
10188,"[65.0,70.0]",Second-half,674.9046912463566,17.176720945577284,12.0,32.0,4.0,5.0,1.4000000000000001
10188,"[70.0,75.0]",Second-half,584.1095043985225,20.88919618543926,12.0,17.0,5.0,0.0,65.70000000000002
10188,"[75.0,80.0]",Second-half,589.8915669266025,38.88654860930122,1.0,8.0,0.0,0.0,1.6
10188,"[80.0,85.0]",Second-half,650.9348078604605,64.5407505143139,16.0,28.0,5.0,12.0,11.290000000000001
10188,"[85.0,90.0]",Second-half,572.4228894107405,0.0,0.0,4.0,0.0,5.0,3.64
10188,"[90.0,95.0]",Second-half,644.9983487196582,0.0,8.0,9.0,6.0,0.0,0.51
10188,"[95.0,100.0]",Second-half,671.1009385678065,141.69560643895227,20.0,34.0,4.0,1.0,0.21
10188,"[100.0,105.0]",Second-half,509.79491907187503,0.0,10.0,4.0,0.0,5.0,0.6699999999999999
10188,"[105.0,110.0]",Second-half,599.7916907518947,161.8068838535122,29.0,42.0,4.0,4.0,21.910000000000004
10188,"[110.0,110.685]",Second-half,89.49593464072524,0.0,0.0,0.0,0.0,0.0,0.0
10342,"[0.0,5.0]",First-half,758.1292066388897,160.96904946975664,19.0,42.0,12.0,9.0,0.7899999999999999
10342,"[5.0,10.0]",First-half,757.4139278424639,315.2677698614639,29.0,38.0,0.0,11.0,13.680000000000001
10342,"[10.0,15.0]",First-half,667.3355307127293,187.81324397234008,29.0,36.0,1.0,19.0,7.700000000000001
10342,"[15.0,20.0]",First-half,538.0927560795983,32.00393974613376,26.0,12.0,0.0,4.0,110.24000000000001
10342,"[20.0,25.0]",First-half,505.60714447115663,58.85444637262435,23.0,21.0,12.0,9.0,3.6500000000000004
10342,"[25.0,30.0]",First-half,594.316206066678,93.2842596530185,58.0,38.0,8.0,11.0,48.99000000000001
10342,"[30.0,35.0]",First-half,525.0292289424222,109.0311453575654,28.0,23.0,5.0,8.0,28.800000000000004
10342,"[35.0,40.0]",First-half,722.9736142552794,253.87204537394672,35.0,32.0,7.0,16.0,11.520000000000001
10342,"[40.0,45.0]",First-half,511.6741496607981,71.4967234127802,57.0,34.0,4.0,17.0,23.94
10342,"[45.0,50.0]",First-half,206.37076798682352,56.868698307066126,10.0,0.0,6.0,0.0,10.66
10342,"[60.0,65.0]",Second-half,56.35318014135103,5.7458398470765095,0.0,0.0,8.0,8.0,0.0
10447,"[0.0,5.0]",First-half,293.3917076454766,0.0,0.0,0.0,0.0,0.0,381.92
10447,"[5.0,10.0]",First-half,297.8708863906992,0.0,6.0,6.0,0.0,0.0,398.51000000000005
10447,"[10.0,15.0]",First-half,291.56403403922866,0.0,20.0,10.0,3.0,0.0,483.21000000000004
10447,"[15.0,20.0]",First-half,255.61998981689558,0.0,12.0,7.0,0.0,8.0,663.23
10447,"[20.0,25.0]",First-half,286.84650617654904,0.0,27.0,11.0,0.0,13.0,460.06000000000006
10447,"[25.0,30.0]",First-half,242.0291336294075,0.0,17.0,15.0,0.0,3.0,575.1300000000001
10447,"[30.0,35.0]",First-half,305.8981521760282,0.0,14.0,3.0,0.0,4.0,435.77
10447,"[35.0,40.0]",First-half,314.876799146861,0.0,17.0,6.0,0.0,9.0,442.51
10447,"[40.0,45.0]",First-half,281.41106764351963,0.0,4.0,4.0,0.0,0.0,305.28000000000003
10447,"[45.0,50.0]",First-half,152.50300482190983,0.0,11.0,7.0,0.0,0.0,136.1
10447,"[60.0,65.0]",Second-half,250.51169482323644,0.0,2.0,2.0,0.0,0.0,362.78
10447,"[65.0,70.0]",Second-half,254.11943488578277,0.0,6.0,5.0,0.0,0.0,382.81000000000006
10447,"[70.0,75.0]",Second-half,253.04726035185928,0.0,16.0,13.0,5.0,5.0,720.4100000000001
10447,"[75.0,80.0]",Second-half,238.90932496925222,0.0,3.0,1.0,0.0,0.0,624.37
10447,"[80.0,85.0]",Second-half,247.0409760707885,0.0,0.0,0.0,0.0,0.0,536.1300000000001
10447,"[85.0,90.0]",Second-half,298.8482682128906,0.0,12.0,16.0,0.0,8.0,425.95000000000005
10447,"[90.0,95.0]",Second-half,285.26280043849033,0.0,2.0,0.0,0.0,0.0,581.8
10447,"[95.0,100.0]",Second-half,291.8940635950658,0.0,0.0,0.0,0.0,0.0,524.71
10447,"[100.0,105.0]",Second-half,293.0692873086592,0.0,7.0,8.0,4.0,3.0,513.83
10447,"[105.0,110.0]",Second-half,229.71092629327217,0.0,6.0,5.0,0.0,0.0,314.26
10447,"[110.0,110.685]",Second-half,45.504643949530056,0.0,0.0,0.0,0.0,0.0,111.36000000000001
10597,"[0.0,5.0]",First-half,683.8658181055816,10.942461975164363,23.0,26.0,0.0,3.0,20.94
10597,"[5.0,10.0]",First-half,630.5535062528123,125.05967310576555,6.0,15.0,2.0,0.0,29.180000000000007
10597,"[10.0,15.0]",First-half,553.5723215767753,70.87424490621564,24.0,21.0,6.0,14.0,2.4599999999999995
10597,"[15.0,20.0]",First-half,499.2975881872684,78.54509018445393,26.0,20.0,8.0,3.0,1.65
10597,"[20.0,25.0]",First-half,395.2817154745758,0.0,4.0,4.0,2.0,0.0,2.01
10597,"[25.0,30.0]",First-half,566.7759711705742,11.977965854883312,21.0,2.0,4.0,0.0,20.28
10597,"[30.0,35.0]",First-half,522.905451022757,29.054081633993604,10.0,21.0,3.0,3.0,88.83
10597,"[35.0,40.0]",First-half,575.4314484672499,67.67182989949842,10.0,21.0,5.0,13.0,37.03
10597,"[40.0,45.0]",First-half,486.84307685663,75.87246590240278,11.0,8.0,4.0,8.0,77.2
10597,"[45.0,50.0]",First-half,126.13011071104144,0.0,2.0,6.0,0.0,0.0,0.0
10597,"[60.0,65.0]",Second-half,430.6940215618096,101.63508795589613,19.0,14.0,9.0,18.0,23.950000000000003
10597,"[65.0,70.0]",Second-half,563.4307139846701,21.00831275735101,14.0,5.0,4.0,3.0,12.280000000000001
