Unnamed: 0,Start_Ts (ms),End_Ts (ms),X,Y,Player,Event,expGoal
8,1500,5800,18.3,0.7,10016,Pass,0.0
13,1727,1500,-2.7,1.9,15223,Pass,0.0
19,5800,5800,-26.0,-23.2,46786,Pass,0.0
27,12500,13600,-28.2,-34.1,17070,Pass,0.0
29,13500,14600,-32.2,-26.5,12588,Pass,0.0
33,15300,15300,-27.8,-33.4,17070,Pass,0.0
40,25400,27000,-9.8,-34.3,17070,Pass,0.0
42,27000,28000,-14.7,-28.5,13394,Pass,0.0
45,28000,28000,-5.7,-33.4,17070,Pass,0.0
51,47700,62000,-14.3,-27.9,12588,Pass,0.0
56,62000,62000,-42.6,0.8,17585,Pass,0.2
64,86500,108800,-47.6,-0.1,18446,Pass,0.37
69,112500,115000,24.9,-16.1,72131,Pass,0.0
73,116500,118500,41.8,3.2,33033,Pass,0.2
77,123500,124700,3.0,24.4,10016,Pass,0.0
80,124800,126300,-6.7,32.8,15223,Pass,0.0
83,127000,129100,7.3,27.5,82908,Pass,0.0
86,129500,131400,18.1,1.7,72131,Pass,0.0
89,131500,133500,16.4,-20.1,17070,Pass,0.0
95,137500,139500,-0.1,-22.8,17585,Pass,0.0
98,139500,139500,13.1,-25.6,17070,Pass,0.0
105,157800,159500,-16.0,-34.4,15889,Pass,0.0
108,160500,162800,-35.5,-23.6,46786,Pass,0.01
111,164900,166300,-35.9,1.3,18446,Pass,0.07
114,167500,168900,-26.4,-17.7,46786,Pass,0.0
118,171500,172700,10.5,-29.2,10396,Pass,0.0
123,175500,176800,39.4,-30.3,12458,Pass,0.01
128,177000,178900,44.1,-9.7,72131,Pass,0.08
133,179000,180000,28.2,-12.3,94410,Pass,0.0
137,180000,180700,29.7,-10.5,93295,Pass,0.0
142,182800,185100,18.8,-5.5,11720,Pass,0.0
147,185000,186300,2.3,-4.6,15606,Pass,0.0
152,189000,190000,11.7,-3.0,13188,Pass,0.0
154,190000,198000,24.4,-11.8,94410,Pass,0.0
166,206600,207600,47.7,19.8,15620,Pass,0.03
169,207500,207500,44.7,7.2,13394,Pass,0.08
